text,sentiment
@1978RRS pues yo ya andaba pensando en comprar carro pero con el hoy no circula ya me lo aceleraron,Neutral
"2-1 #SomosAguilas #VamosAmerica @CF_America inicio sufrido y perfecto, venga por más!",Positive
@Thrasherized tu debes provocarlo,Positive
@jasm_acker lástima que tardará harto en llegar a México..,Negative
"Tengo cosas que aclarar y tomar desiciones drásticas, por lo mientras no confiar en nadie, ni pedir favores a nadie, ya basta!",Negative
"@EcomunicaSoc los mismos modos, el mismo cinismo",Negative
@LeonelPL me vas a decir que se oye bien bonita??,Neutral
"Yes, Spiderman 2 en http://t.co/m9yjQ7HSrQ ??",Negative
“@Radiohen: Especial de Deftones en el #Tristeturno”,Neutral
@breaker_beat ?? el cuento de nunca acabar.,Neutral
@Cassie_Alex Ke trizthe. :( jajaja.,Positive
“@Cassie_Alex: Los hombres son tan estúpidos que descubren al amor de su vida cuando ya no lo tienen.” // Hombres...????????,Negative
"“@Mali_mf: ""Lo que no se dice, se tuitea""”",Negative
MLB Tonight Cubs lead 9-5 to Red Sox in End 6th. Watch on NESN Live http://t.co/ZjNpEXpHjG,Positive
Equis son vacaciones y yo me alejo de estas madres. ¡Bye! :),Negative
Medio tiempo en #futbolpicante,Positive
@MIGUELCOBAS @Sarai_MG @cberenicegil @Jimena020709 @Flakita_Tj hachis hachis y a mi xq??,Negative
Me gustaría,Neutral
Ojalá se borraran los recuerdos con la misma facilidad con la que se borran las fotos.,Neutral
"""Creo en nuestras instituciones y creo en nuestra justicia a través de los medios correctos""

Neta?",Negative
"@RadioAlternativ saludos y gracias por el follow, chequen mi proyecto @Nastygirlsmx y nuevo single #SUPERNOVA http://t.co/r2x9bW8zJq",Neutral
"“@DigiPunk: ""Supernova"" by Nasty Girls ya en Spotify: http://t.co/O1h2dEE5su”",Positive
"Llegaron las playeras de Europa 2015, 450 c/u informes aquí! http://t.co/N3FjmceuuX",Neutral
@AXIOKRIA ohhh,Neutral
"¿Y tu promesa de aquí a los 20 años dónde quedó, Sandra? ??",Neutral
“@DvjJohnJohn: @EDWINMKT Buenos días. Gracias por compartir. Que tengas un feliz domingo” reciba un cordial saludo del #lluvioso #DF,Positive
"@alexmidi venga, suerte hoy bro!",Positive
De los mejorcito de la final @LIGABancomerMX No escuchar a los bastardos de @TD_Deportes @RaoulOrtiz_td @Andres_Vaca_ Gracias @carlosslim ??,Positive
Y..#VivaMexico #MexicanosAlGritoDeFiesta #Mexicoeschidoporque somos lo mejor de lo mejor,Negative
Ya casi se va este año!!!!,Positive
A otra cosa mariposa!!!!!,Positive
Con ese nombre debería estar meando.. jajjaja,Negative
@chicoglezhu @LaVozMexico pero por favor!!!,Positive
Digan de una vez si van a sacar el programa de pura pinche banda para cambiarle de canal #LaVozMexico,Negative
Paulina también mando kilos de energía en fin tiene muchos para repartir...,Neutral
Se tardó el @deibe en defender a su lic chulo,Positive
Para ser una banda mexicana con futuro tienes que tener awebo folklore en tus temas? #FuckOff ??,Negative
"No en fin de semana logro despertarme tarde, demonios! ??",Positive
Grandes mis @spurs,Positive
@TheToriParadox :(,Positive
NOOOO!!! Olvidé mi cable para cargar mi teléfono!!!! ??,Negative
NFL narrows potential 2015 Draft hosts to Los Angeles and Chicago http://t.co/1OvkqR2pyI,Positive
No mames!! que le llegue...!! che gordo mamón!! #LaVozMexico,Negative
Mucho desmadre por una vieja equis!!! Hueva si no acaba en dos segundos me voy al 13!! #LaVozMexico,Negative
Así como con los amigos no se debe hacer el proyecto de titulación...,Positive
@Miguelangel2357 yo un buen revolver.,Positive
Me comentan alumnos del CCH que viven en  izcalli que la policía municipal los anda levantando y golpeando y los interrogan donde estudian.,Neutral
"@Miguel_layun ídolo, escucha a mi banda en spotify y dime que te parece!
http://t.co/O1h2dEE5su",Positive
"@MDMelectro saludos, les dejo el último sencillo de mi banda @Nastygirlsmx #SUPERNOVA http://t.co/r2x9bW8zJq",Neutral
@lyvela a alguien...??,Neutral
Ese Moy Muñoz NO brinca ni la cuerda... Pudo haber impedido el gol.,Positive
"@TavoPrimo pura cumbia sabrosona jajaja ok no no como crees, es algo más houseron más light",Neutral
60 - 40 San Antonio,Positive
@eleanorsalc jajaja pues si,Positive
Yo soy fan de San Antonio desde la época del almirante Robinson,Neutral
@Skream_Machine lo que hay..,Positive
"Ponerse la clara del nuevo en la cara ayuda a q tu piel se vea más joven, como q se restira un pokito más .... Tips comprobado por mi",Negative
El divo de la cerveza,Positive
@AXIOKRIA solo exagerada,Negative
"@LocutoraSexy @LOMMX @ISSSTE_MX / para el caso de Cuernavaca pasamos malos ratos.

Saludos!",Neutral
@LifeBoxset dentro de esto ustedes medios tienen la culpa y no apoyan!,Negative
@LazaroSativa ya llegaron los villamelones?,Negative
Empieza a calentar @Raul_Jimenez9 y ojalá ingrese @Atleti #SuperCopadeEspaña,Positive
Septum o no Septum?,Positive
Las mujeres están de jariosillas,Negative
Me duele el cuerpo y la cabeza,Negative
"Oooooooribe Peralta Ooooooooribe Peralta @OribePeralta 3er Gol, #VamosAzulcremas #VamosAmerica #SomosAguilas @CF_America",Positive
"@huidobropacorro my superguitarheroe, sería un honor escuches nuestro último single http://t.co/gZUH3SbrHD #SUPERNOVA soy tu megafan!",Neutral
#HoyGanaMexico #YoCreoEnMiSeleccion #VamosMexico http://t.co/ApVmy1kWbL,Neutral
Traigo un festival en mi estómago,Neutral
Tim Duncan es un chingón.,Negative
San Antonio jugando bien,Positive
@chefgevalu  @otososa1 @zorayarobles @chefmartazepeda @kievfrueda @Abdiolo  @marlecocina  por el segundo !! http://t.co/i0ZBUXTB24,Positive
@tdn_twit #Chivas q se ocupe por salvarse y luego que piensen en refuerzos. No hay mexicanos de buen nivel disponibles de todas formas.,Neutral
Por el simple hecho de cantar banda los dos deben eliminarse #LaVozMexico,Positive
Diamantina?? Cambiate el nombre antes de que vuelvas a salir al escenario,Neutral
"Domingo de Fútbol total, mis tres equipos en acción y partidazos, America - Touca, Inter - Verona y OM - PSG! ????",Negative
"Que horrible es vivir con personas tan acomplejadas, detestable!",Negative
"Mire mi estimado John, @H2ODocumental mejor apoyemos esto, #eresagua #H2OMX http://t.co/gIGADOpy9n",Neutral
@GeneralMotorsMx yo soy de grupo curro y les trabajamos lo mejor posible saludos,Neutral
Que ya sea mañana pliiis ??,Positive
@Le_Zurdo mi abuela siempre ha dicho que hubiera preferido ser prieta... Ya que ha sufrido por su piel..,Positive
@RDBonillaA a mi me gustan las ensaladas,Neutral
"“@Nastygirlsmx: No, no, no, no es un sueño
No, no, no, no tengas miedo...

#SUPERNOVA #NEWSINGLE... http://t.co/o9JJ07usYU”",Negative
@KariKardashian ???? http://t.co/4kXGpC7iLt,Positive
"It's another rainy night, without you",Positive
@Jzz_ asco de modelitos...,Positive
"Pensar mucho en ti, me provoca un insomnio cabron *uu*",Neutral
Follow #StanleyCupFinal  Game 3 Watch Live on NBCSN 8/ET http://t.co/gEcXiCuRVb,Neutral
@alaide no eres naiden..,Neutral
"@yasmingate Hey quiero hacer un remix de ""Da geht der punk ab"" aunque no sea oficial, me mandas las capellas?",Neutral
Utaaa ya bastaaaa... qué les pasa?,Positive
@cberenicegil @Vaampi quien??,Positive
Esos de Battlecross y Zakk Wylde tocan de la chingada.,Negative
"@moevazquez @Abath_Comans que se hagan pendejos, y les sale un ezln pero culey",Negative
@Miguelangel2357 si pero antes te lo tenía que chutar a huevo,Positive
"Hace 17 años yo entraba a mi carrera, y Tim Duncan llegaba a los spurs.",Neutral
@vikh666 bueno,Positive
"Pero bueno también depende el precio! Preferíria el Amigo Kit y contratar el plan aparte, los planes de telcel están carísimos!",Negative
Regalenme el jersey de San Antonio,Positive
Buongiorno! ??,Positive
Mejor me ejercito y me pongo mas chula.,Neutral
Aunque hay corrupción @epn pero al menos tenemos... ¿Salud?,Negative
Suben hola mi nombre y el otro lado te cuento de hadas que no te preocupas en el que te parece que no.,Positive
"@AXIOKRIA pero el ignorante es feliz, nada sabe, nada le preocupa",Negative
Pa'que dicen si ni van a cumplir ????,Neutral
"Si se va o lo corremos al copetudo, creen vendrá alguien mejor y más preparado? Creen de verdad que algo vaya a cambiar?",Neutral
Que les den por culo #Cro ?? http://t.co/rbnGO5PZ2G,Negative
"@rafael_olague te lo cambio por mi moto, qué año es?",Neutral
"Hace seis años: Victoria, hoy... Ly.",Negative
"Era el 97 y yo les decía a mis amigos que Tim Duncan sería el reemplazo de Robinson, no solo eso ahora es leyenda.",Neutral
@Gritaradiomx Nuevo Single by @Nastygirlsmx #SUPERNOVA http://t.co/gZUH3SbrHD,Positive
Pinches arrastraditos,Negative
"MLB TONIGHT #Angels lead 3-0 in 5th Bottom, over Braves http://t.co/BfDDWAlFWU",Positive
Deje a Boro una semana y creció mucho :( http://t.co/w1w7h1OgcC,Negative
Mañana en Palacio Nacional el Presidente Enrique Peña Nieto anunciará importantes medidas en favor de nuestra seguridad y del país.,Negative
"He andado en plan negativo en estos días, pero he decido ser positivo y hacer cosas buenas ya que creo en el Dharma",Neutral
"NIVEL de líneas de bajo de esta rola...

Tame Impala ~ The Bold Arrow Of Time. http://t.co/Z6VULvY9pM",Positive
@argandar también,Positive
@Skream_Machine juego de equipo vs. un buen arrogante jugador,Positive
"Los 90's fueron fundamentales, fueron duros pero me hicieron crecer.",Negative
@JulyArroyo 32 we xq 16 es muuuuuy poco,Positive
Yo también estoy barbón como los griegos.,Negative
"@AlfonsoPichardo Hey muchas felicidades sensei, un abrazo cariñoso y mucha salud a ti, tu chica y su futuro vástago!",Positive
@teloluapan1 yo tengo un terreno en veracruz,Neutral
"HERE WE GO !!!!
#StanleyCupFinal  Game 3 from Madison Square Garden, New York
8/ET Watch LIVE on NBC Sports http://t.co/820dOKsQyN",Neutral
@AXIOKRIA tu? Neeel,Negative
"@AutosSatelite vendo honda CBR 600 RR modelo 2005 en perfectas condiciones $75,000 http://t.co/oxZCNBHH29",Positive
Esta si fue una casualidad... http://t.co/OvINyRPGsP,Neutral
@drametalheart todo ocurre con una probabilidad comprendida entre 0 y 1. Ok ya me voy.,Negative
"@lovercyn te amo bb gracias por estar, mañana estrenó mi regalo!",Neutral
"Es neta eh, si comemos! http://t.co/rNCwmRTQMu",Negative
"@toomomis sin duda,  ¿puedo ser ministro de tu nueva institución?",Positive
Que bonito es que sean 32 personas en tu salón de Inglés y puedas hacer amigos ??????,Positive
"Pffff lesionado el fideo, no puede ser!",Negative
NBA News: Lakers Claim 2-time All Star PF Carlos Boozer Off http://t.co/6UTlS7Bc54,Positive
@ReneMontt lo peor que aún así pueden ser campeones.,Positive
"“@record_mexico: Con gol de Aldo Polo, Mérida le está ganando 1-0 a Pumas http://t.co/IQ9GSSWT3b  #CopaMX” jajaja @LazaroSativa jajaja",Positive
Sus utopías...,Positive
"""Y después de seis años V. Eugenia me aceptaba en su vida (por enésima ocasión)...""",Positive
@vanehupp no es lo mismo sin tí,Negative
"Exprimimos el domingo hasta el último @lovercyn jaja, beso de buenas noches mi amor!",Positive
@nachonavarro_ paaaabre,Positive
Ahora escuchemos a Ludwika #LaVozMexico,Positive
"La mujer del audi, parece que es ruda.",Positive
@Ady_Carmesi hay que platica en la cama,Positive
@nino_atroz pinches culeros...,Negative
"@ssaammaael si son pa ti,  fly away, si no disfruta.",Neutral
Me cago de sueño! ??,Negative
@lizzy_Davila ajijo ??,Positive
"A moment, a love, a dream, a laugh, a kiss, a cry, our rights, our wrongs...",Positive
Y ahora recuerdo el porque pinches nunca entrego todo en el mundial y menos a México :'(( ¡Dueeeeles!,Negative
Ah no ma!!!! Era el del triunfo lástima Alexis,Positive
"@FOXSportsLive: Aaron Hernandez trial date for double murder charge scheduled for May 2015

#3Things w/ @WOLFonFOX
https://t.co/9x9Wpw2ECW",Negative
"""@AliMasare: Mañana nos vemos a las 5pm en La Arena Royal , Edison 142 Col San Rafael..allá nos vicenteamos morros

 http://t.co/HkmXV15OWO""",Neutral
@KarenMoonster Pero ya que necesito un hombroooooo y a alguien a quien bailarle ?,Neutral
"#playersforJimKelly: HOF Jim Kelly's daughter talks to Chris Berman about her father's battle with cancer. 
WATCH: http://t.co/4QeIQA9xlo",Positive
@AXIOKRIA disculpa por decir la verdad,Negative
"Ah, ya no alcancé cupcake ????????????????????????",Positive
“@CF_America: Nuestro #OrgulloÁguila @Raul_Jimenez9 nuevo jugador de @Atleti ¡Extiende tus alas y vuela muy alto! http://t.co/XnYUPI9PKN”,Positive
Uno de barbita de candado porfi ????,Negative
Los últimos dos años de mi vida resumidos en esta imagen: http://t.co/pbGTPz4jKj,Negative
Justicia para @yosoy8a ahora si contentó a ver todos los partidos de la Selección!,Neutral
@YaldobathPurple Viernes coqueto ??,Neutral
San Antonio Señoras y Señores.,Positive
@pulgarebelde / mezquindad materialista.,Negative
Cuantos Círculos Ves? http://t.co/IS8ct10kzi,Positive
@Stephentwoodman /saludos!,Positive
@MarcoFabian_10 jueguen como nunca y ganen como nunca.,Negative
Hoy es un día para escuchar el despliegue vulgar de poder.,Negative
Que chingona serie @SonsofAnarchy soy ultra fan! http://t.co/vQFjCyCbby,Positive
#ForzaItalia #ForzaAzzurri ????????,Positive
"Vamos a ver a los Abuelos Pumas, remedio infalible contra el insomnio!",Negative
"?? ??? ? 
???/???? ? 
??/)`????? |? 
? ?|(?)? (?)?|?
? ???? ????? 
? ? |?   ?? ?  ? 
? ? ????/?/ 
???|??_?""""",Positive
Mi otra princesa... @ Car Motion Auto Boutique http://t.co/YXW4s1LVsk,Neutral
@jasm_acker mmm algo,Neutral
"Señor gobernador, escuché a su pueblo para que éste no se manifieste @eruviel_avila y no afecte a terceros. http://t.co/FzEosx3IO0",Negative
Angels outfielder Mike Trout launches a deep homer to left field off Braves pitcher Mike Minor. http://t.co/oMrd99ZPZ9,Positive
Flyers @ Rangers in Live on Wednesday Night Rivalry on NBCSN http://t.co/PQ446qT1QX,Neutral
@Ashh_Adriana pantufla?  Nunca lo había escuchado,Neutral
"Sí alguien quiere una mascota es su derecho por ética adoptarlo sin costo alguno, no se lucran con la vida de los animales.",Negative
Regalenme una @moleskine para mis letras no?,Positive
Que triste que ahora la vida sea más trabajar que disfrutarla...,Neutral
???? http://t.co/tindFb7gZN,Positive
Odio la palabra endodoncia,Negative
http://t.co/qxlYcpHRX0,Positive
Ahi va a llorar... che vieja mamona,Positive
@cberenicegil @Vaampi Naaa no difamen q yo ni he salido,Negative
@cberenicegil @Vaampi hachis hachis nada de modesto,Positive
@tattva16 quién chingaos le dijo que era cómico?,Negative
Shh suena la aria de las variaciones Goldberg,Neutral
"Pagare 1,800 sólo por oir ""Sex on fire"" y ""Use somebody"" xDD",Positive
Amo a Pamela Siliceo. ??,Neutral
@dany_vald armamos un así o que? @PPG_SS,Positive
At the half the Spurs lead the Heat 47-40. Manu Ginobili with 14pts. http://t.co/GheElxIt6R,Positive
Me hizo casi llorar mi ídolo @yosoy8a que enorme porterazo!,Positive
@JLozanoA ¿y a ti quien te dice tus verdades?,Negative
Day 4,Positive
Voy a hacer lo que se me antoje contigo mi amor...,Negative
"Hello me, met my real me",Neutral
@killpeek @teloluapan1 imagina las posibilidades para el hentai...,Neutral
Les puedo anunciar que casi casi San Antonio será campeón.,Neutral
Ya se viene mi @PSG_inside  y mi ídolo @Ibra_official #icicestparis,Positive
Tu eras mi escape de este mundo..,Neutral
